frame,Left Shoulder_x,Left Shoulder_y,Left Shoulder_conf,Right Shoulder_x,Right Shoulder_y,Right Shoulder_conf,Left Elbow_x,Left Elbow_y,Left Elbow_conf,Right Elbow_x,Right Elbow_y,Right Elbow_conf
0,0.4778433799743652,0.35059187147352433,0.9995073080062866,0.6554620265960693,0.35615793863932294,0.9978694915771484,0.4080198287963867,0.5800634172227648,0.9977631568908691,0.6976700305938721,0.5663013034396701,0.9754856824874878
1,0.47772917747497556,0.3517779880099826,0.9994882345199585,0.6577726364135742,0.3578309800889757,0.9978927969932556,0.4010463714599609,0.5716423034667969,0.9977725148200989,0.7061872005462646,0.5630916171603733,0.9741981625556946
2,0.47746801376342773,0.35152948167588977,0.9995070695877075,0.6579815864562988,0.3589603847927517,0.9978669881820679,0.39633870124816895,0.5635307312011719,0.997972309589386,0.7123511791229248,0.5512747870551216,0.9747486710548401
3,0.4775079250335693,0.35114847819010414,0.9994650483131409,0.6606411457061767,0.36152996487087674,0.9977165460586548,0.38850913047790525,0.5541231367323134,0.9979709982872009,0.7189730644226074,0.5543867323133681,0.9734985828399658
4,0.47634234428405764,0.3515597873263889,0.9993267059326172,0.663265323638916,0.36321470472547746,0.9976146221160889,0.3785569190979004,0.5447378794352213,0.9974798560142517,0.7286581039428711,0.5557542165120443,0.9745104908943176
5,0.47556533813476565,0.3503915574815538,0.999369204044342,0.6635774135589599,0.36198963589138455,0.9977138042449951,0.3722842216491699,0.5331599765353733,0.9975283741950989,0.7349637031555176,0.5453210194905599,0.9764770865440369
6,0.47405638694763186,0.34806476169162326,0.9994435906410217,0.6640917301177979,0.35989350212944876,0.9977394342422485,0.3612434148788452,0.5168727450900608,0.9977807402610779,0.7442205905914306,0.5304206000434027,0.9766979813575745
7,0.47385058403015134,0.34394302368164065,0.9994162321090698,0.6676726818084717,0.35768330891927086,0.9979420304298401,0.358735466003418,0.49367824130588106,0.997655987739563,0.7507967948913574,0.5154398600260417,0.9738444089889526
8,0.4710860729217529,0.3433974372016059,0.9994325041770935,0.6694022178649902,0.3558662414550781,0.9980879426002502,0.34493749141693114,0.4861008538140191,0.9976757168769836,0.7601036071777344,0.5147357940673828,0.9715902209281921
9,0.46670851707458494,0.34137725830078125,0.9994151592254639,0.6750114440917969,0.3513772752549913,0.9987813830375671,0.34187133312225343,0.4682172563340929,0.997052788734436,0.768988037109375,0.49018707275390627,0.979512631893158
10,0.46405515670776365,0.33960308498806424,0.9993700385093689,0.6762467384338379,0.35182503594292536,0.9989525079727173,0.3346854686737061,0.45397716098361546,0.9960189461708069,0.7776492595672607,0.4817769792344835,0.9788970947265625
11,0.46353917121887206,0.33836775885687936,0.9993492960929871,0.6738584041595459,0.34744177924262154,0.9988779425621033,0.3352308988571167,0.43785667419433594,0.9962700605392456,0.7792283058166504,0.4561107635498047,0.979130208492279
12,0.46417989730834963,0.3344843546549479,0.9991857409477234,0.6758921146392822,0.34440718756781685,0.9987882971763611,0.347089958190918,0.4150355021158854,0.9949384927749634,0.7801036834716797,0.43359786139594186,0.9762083292007446
13,0.46205945014953614,0.3294419182671441,0.9991833567619324,0.6759198188781739,0.34017393324110246,0.9987536668777466,0.3442098617553711,0.39725723266601565,0.9958005547523499,0.7797569274902344,0.41288138495551213,0.9774349927902222
14,0.4632102966308594,0.3239212883843316,0.99920254945755,0.6750745296478271,0.3344632042778863,0.9985507130622864,0.35444667339324953,0.37711597018771703,0.9967479705810547,0.7789957046508789,0.3884690178765191,0.9763131737709045
15,0.46443376541137693,0.31785931057400174,0.999238133430481,0.6737314701080322,0.32826241387261285,0.9983851909637451,0.3591583251953125,0.3572151607937283,0.9968758821487427,0.7820192337036133,0.36880031161838106,0.9752341508865356
